code,description
S02.11DG,"""Type II occipital condyle fracture, left side, subsequent encounter for fracture with delayed healing"""
S02.11DK,"""Type II occipital condyle fracture, left side, subsequent encounter for fracture with nonunion"""
S02.11DS,"""Type II occipital condyle fracture, left side, sequela"""
S02.11ED,"""Type III occipital condyle fracture, right side, subsequent encounter for fracture with routine healing"""
S02.11EG,"""Type III occipital condyle fracture, right side, subsequent encounter for fracture with delayed healing"""
S02.11EK,"""Type III occipital condyle fracture, right side, subsequent encounter for fracture with nonunion"""
S02.11ES,"""Type III occipital condyle fracture, right side, sequela"""
S02.11FD,"""Type III occipital condyle fracture, left side, subsequent encounter for fracture with routine healing"""
S02.11FG,"""Type III occipital condyle fracture, left side, subsequent encounter for fracture with delayed healing"""
S02.11FK,"""Type III occipital condyle fracture, left side, subsequent encounter for fracture with nonunion"""
S02.11FS,"""Type III occipital condyle fracture, left side, sequela"""
S02.11GD,"""Other fracture of occiput, right side, subsequent encounter for fracture with routine healing"""
S02.11GG,"""Other fracture of occiput, right side, subsequent encounter for fracture with delayed healing"""
S02.11GK,"""Other fracture of occiput, right side, subsequent encounter for fracture with nonunion"""
S02.11GS,"""Other fracture of occiput, right side, sequela"""
S02.11HD,"""Other fracture of occiput, left side, subsequent encounter for fracture with routine healing"""
S02.11HG,"""Other fracture of occiput, left side, subsequent encounter for fracture with delayed healing"""
S02.11HK,"""Other fracture of occiput, left side, subsequent encounter for fracture with nonunion"""
S02.11HS,"""Other fracture of occiput, left side, sequela"""
S02.121D,"""Fracture of orbital roof, right side, subsequent encounter for fracture with routine healing"""
S02.121G,"""Fracture of orbital roof, right side, subsequent encounter for fracture with delayed healing"""
S02.121K,"""Fracture of orbital roof, right side, subsequent encounter for fracture with nonunion"""
S02.121S,"""Fracture of orbital roof, right side, sequela"""
S02.122D,"""Fracture of orbital roof, left side, subsequent encounter for fracture with routine healing"""
S02.122G,"""Fracture of orbital roof, left side, subsequent encounter for fracture with delayed healing"""
S02.122K,"""Fracture of orbital roof, left side, subsequent encounter for fracture with nonunion"""
S02.122S,"""Fracture of orbital roof, left side, sequela"""
S02.129D,"""Fracture of orbital roof, unspecified side, subsequent encounter for fracture with routine healing"""
S02.129G,"""Fracture of orbital roof, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.129K,"""Fracture of orbital roof, unspecified side, subsequent encounter for fracture with nonunion"""
S02.129S,"""Fracture of orbital roof, unspecified side, sequela"""
S02.19XD,"""Other fracture of base of skull, subsequent encounter for fracture with routine healing"""
S02.19XG,"""Other fracture of base of skull, subsequent encounter for fracture with delayed healing"""
S02.19XK,"""Other fracture of base of skull, subsequent encounter for fracture with nonunion"""
S02.19XS,"""Other fracture of base of skull, sequela"""
S02.2XXD,"""Fracture of nasal bones, subsequent encounter for fracture with routine healing"""
S02.2XXG,"""Fracture of nasal bones, subsequent encounter for fracture with delayed healing"""
S02.2XXK,"""Fracture of nasal bones, subsequent encounter for fracture with nonunion"""
S02.2XXS,"""Fracture of nasal bones, sequela"""
S02.30XD,"""Fracture of orbital floor, unspecified side, subsequent encounter for fracture with routine healing"""
S02.30XG,"""Fracture of orbital floor, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.30XK,"""Fracture of orbital floor, unspecified side, subsequent encounter for fracture with nonunion"""
S02.30XS,"""Fracture of orbital floor, unspecified side, sequela"""
S02.31XD,"""Fracture of orbital floor, right side, subsequent encounter for fracture with routine healing"""
S02.31XG,"""Fracture of orbital floor, right side, subsequent encounter for fracture with delayed healing"""
S02.31XK,"""Fracture of orbital floor, right side, subsequent encounter for fracture with nonunion"""
S02.31XS,"""Fracture of orbital floor, right side, sequela"""
S02.32XD,"""Fracture of orbital floor, left side, subsequent encounter for fracture with routine healing"""
S02.32XG,"""Fracture of orbital floor, left side, subsequent encounter for fracture with delayed healing"""
S02.32XK,"""Fracture of orbital floor, left side, subsequent encounter for fracture with nonunion"""
S02.32XS,"""Fracture of orbital floor, left side, sequela"""
S02.400D,"""Malar fracture, unspecified side, subsequent encounter for fracture with routine healing"""
S02.400G,"""Malar fracture, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.400K,"""Malar fracture, unspecified side, subsequent encounter for fracture with nonunion"""
S02.400S,"""Malar fracture, unspecified side, sequela"""
S02.401D,"""Maxillary fracture, unspecified side, subsequent encounter for fracture with routine healing"""
S02.401G,"""Maxillary fracture, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.401K,"""Maxillary fracture, unspecified side, subsequent encounter for fracture with nonunion"""
S02.401S,"""Maxillary fracture, unspecified side, sequela"""
S02.402D,"""Zygomatic fracture, unspecified side, subsequent encounter for fracture with routine healing"""
S02.402G,"""Zygomatic fracture, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.402K,"""Zygomatic fracture, unspecified side, subsequent encounter for fracture with nonunion"""
S02.402S,"""Zygomatic fracture, unspecified side, sequela"""
S02.40AD,"""Malar fracture, right side, subsequent encounter for fracture with routine healing"""
S02.40AG,"""Malar fracture, right side, subsequent encounter for fracture with delayed healing"""
S02.40AK,"""Malar fracture, right side, subsequent encounter for fracture with nonunion"""
S02.40AS,"""Malar fracture, right side, sequela"""
S02.40BD,"""Malar fracture, left side, subsequent encounter for fracture with routine healing"""
S02.40BG,"""Malar fracture, left side, subsequent encounter for fracture with delayed healing"""
S02.40BK,"""Malar fracture, left side, subsequent encounter for fracture with nonunion"""
S02.40BS,"""Malar fracture, left side, sequela"""
S02.40CD,"""Maxillary fracture, right side, subsequent encounter for fracture with routine healing"""
S02.40CG,"""Maxillary fracture, right side, subsequent encounter for fracture with delayed healing"""
S02.40CK,"""Maxillary fracture, right side, subsequent encounter for fracture with nonunion"""
S02.40CS,"""Maxillary fracture, right side, sequela"""
S02.40DD,"""Maxillary fracture, left side, subsequent encounter for fracture with routine healing"""
S02.40DG,"""Maxillary fracture, left side, subsequent encounter for fracture with delayed healing"""
S02.40DK,"""Maxillary fracture, left side, subsequent encounter for fracture with nonunion"""
S02.40DS,"""Maxillary fracture, left side, sequela"""
S02.40ED,"""Zygomatic fracture, right side, subsequent encounter for fracture with routine healing"""
S02.40EG,"""Zygomatic fracture, right side, subsequent encounter for fracture with delayed healing"""
S02.40EK,"""Zygomatic fracture, right side, subsequent encounter for fracture with nonunion"""
S02.40ES,"""Zygomatic fracture, right side, sequela"""
S02.40FD,"""Zygomatic fracture, left side, subsequent encounter for fracture with routine healing"""
S02.40FG,"""Zygomatic fracture, left side, subsequent encounter for fracture with delayed healing"""
S02.40FK,"""Zygomatic fracture, left side, subsequent encounter for fracture with nonunion"""
S02.40FS,"""Zygomatic fracture, left side, sequela"""
S02.411D,"""LeFort I fracture, subsequent encounter for fracture with routine healing"""
S02.411G,"""LeFort I fracture, subsequent encounter for fracture with delayed healing"""
S02.411K,"""LeFort I fracture, subsequent encounter for fracture with nonunion"""
S02.411S,"""LeFort I fracture, sequela"""
S02.412D,"""LeFort II fracture, subsequent encounter for fracture with routine healing"""
S02.412G,"""LeFort II fracture, subsequent encounter for fracture with delayed healing"""
S02.412K,"""LeFort II fracture, subsequent encounter for fracture with nonunion"""
S02.412S,"""LeFort II fracture, sequela"""
S02.413D,"""LeFort III fracture, subsequent encounter for fracture with routine healing"""
S02.413G,"""LeFort III fracture, subsequent encounter for fracture with delayed healing"""
S02.413K,"""LeFort III fracture, subsequent encounter for fracture with nonunion"""
S02.413S,"""LeFort III fracture, sequela"""
S02.42XD,"""Fracture of alveolus of maxilla, subsequent encounter for fracture with routine healing"""
S02.42XG,"""Fracture of alveolus of maxilla, subsequent encounter for fracture with delayed healing"""
S02.42XK,"""Fracture of alveolus of maxilla, subsequent encounter for fracture with nonunion"""
S02.42XS,"""Fracture of alveolus of maxilla, sequela"""
S02.5XXD,"""Fracture of tooth (traumatic), subsequent encounter for fracture with routine healing"""
S02.5XXG,"""Fracture of tooth (traumatic), subsequent encounter for fracture with delayed healing"""
S02.5XXK,"""Fracture of tooth (traumatic), subsequent encounter for fracture with nonunion"""
S02.5XXS,"""Fracture of tooth (traumatic), sequela"""
S02.600D,"""Fracture of unspecified part of body of mandible, unspecified side, subsequent encounter for fracture with routine healing"""
S02.600G,"""Fracture of unspecified part of body of mandible, unspecified side, subsequent encounter for fracture with delayed healing"""
S02.600K,"""Fracture of unspecified part of body of mandible, unspecified side, subsequent encounter for fracture with nonunion"""
S02.600S,"""Fracture of unspecified part of body of mandible, unspecified side, sequela"""
S02.601D,"""Fracture of unspecified part of body of right mandible, subsequent encounter for fracture with routine healing"""
S02.601G,"""Fracture of unspecified part of body of right mandible, subsequent encounter for fracture with delayed healing"""
S02.601K,"""Fracture of unspecified part of body of right mandible, subsequent encounter for fracture with nonunion"""
S02.601S,"""Fracture of unspecified part of body of right mandible, sequela"""
S02.602D,"""Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with routine healing"""
S02.602G,"""Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with delayed healing"""
S02.602K,"""Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with nonunion"""
S02.602S,"""Fracture of unspecified part of body of left mandible, sequela"""
S02.609D,"""Fracture of mandible, unspecified, subsequent encounter for fracture with routine healing"""
S02.609G,"""Fracture of mandible, unspecified, subsequent encounter for fracture with delayed healing"""
S02.609K,"""Fracture of mandible, unspecified, subsequent encounter for fracture with nonunion"""
S02.609S,"""Fracture of mandible, unspecified, sequela"""
S02.610D,"""Fracture of condylar process of mandible, unspecified side, subsequent encounter for fracture with routine healing"""
S02.610G,"""Fracture of condylar process of mandible, unspecified side, subsequent encounter for fracture with delayed healing"""
